1001,Đặng Yến Tuyền,04:52
1002,Ngô Phát Long,10:02
1003,Hoàng Quỳnh Hiếu,17:09
1004,Ngô Việt Mạnh,18:01
1005,Hồ Vương Thái,09:34
1006,Bùi Thắng Vỹ,07:02
1007,Vũ Doanh Huyền,23:12
1008,Đỗ Bình Băng,14:45
1009,Vũ Thông Triết,17:35
1010,Dương Mỹ Thương,20:50
1011,Trương Tú Nhật,03:38
1012,Võ Nhân Hoàng,02:29
1013,Hoàng Bình Khang,14:29
1014,Bùi Trâm Trà,03:32
1015,Hồ Đan Oanh,09:33
1016,Phan Thịnh Giang,19:21
1017,Trương Quý Hiệp,09:19
1018,Hoàng Hạnh Lâm,01:46
1019,Phan Khuê Khánh,02:36
1020,Nguyễn Đông Thắng,04:35
